data;ano;mes;continente;pais;uf;chegadas
2020-01-01;2020;janeiro;África;África do Sul;Ceará;0
2020-01-01;2020;janeiro;África;Angola;Ceará;1
2020-01-01;2020;janeiro;África;Cabo Verde;Ceará;74
2020-01-01;2020;janeiro;África;Egito;Ceará;1
2020-01-01;2020;janeiro;África;Gana;Ceará;0
2020-01-01;2020;janeiro;África;Marrocos;Ceará;0
2020-01-01;2020;janeiro;África;Moçambique;Ceará;0
2020-01-01;2020;janeiro;África;Nigéria;Ceará;0
2020-01-01;2020;janeiro;África;Quênia;Ceará;0
2020-01-01;2020;janeiro;África;Tunísia;Ceará;11
2020-01-01;2020;janeiro;África;Outros países;Ceará;13
2020-01-01;2020;janeiro;América Central e Caribe;Costa Rica;Ceará;2
2020-01-01;2020;janeiro;América Central e Caribe;Cuba;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;El Salvador;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;Guatemala;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;Haiti;Ceará;4
2020-01-01;2020;janeiro;América Central e Caribe;Honduras;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;Nicarágua;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;Panamá;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;República Dominicana;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;Trinidad e Tobago;Ceará;0
2020-01-01;2020;janeiro;América Central e Caribe;Outros países;Ceará;0
2020-01-01;2020;janeiro;América do Norte;Canadá;Ceará;5
2020-01-01;2020;janeiro;América do Norte;Estados Unidos;Ceará;378
2020-01-01;2020;janeiro;América do Norte;México;Ceará;2
2020-01-01;2020;janeiro;América do Sul;Argentina;Ceará;427
2020-01-01;2020;janeiro;América do Sul;Bolívia;Ceará;2
2020-01-01;2020;janeiro;América do Sul;Chile;Ceará;6
2020-01-01;2020;janeiro;América do Sul;Colômbia;Ceará;3
2020-01-01;2020;janeiro;América do Sul;Equador;Ceará;0
2020-01-01;2020;janeiro;América do Sul;Guiana;Ceará;1
2020-01-01;2020;janeiro;América do Sul;Guiana Francesa;Ceará;0
2020-01-01;2020;janeiro;América do Sul;Paraguai;Ceará;1
2020-01-01;2020;janeiro;América do Sul;Peru;Ceará;3
2020-01-01;2020;janeiro;América do Sul;Suriname;Ceará;0
2020-01-01;2020;janeiro;América do Sul;Uruguai;Ceará;1
2020-01-01;2020;janeiro;América do Sul;Venezuela;Ceará;1
2020-01-01;2020;janeiro;Ásia;Arábia Saudita;Ceará;0
2020-01-01;2020;janeiro;Ásia;Bangladesh;Ceará;0
2020-01-01;2020;janeiro;Ásia;China;Ceará;5
2020-01-01;2020;janeiro;Ásia;China, Hong Kong;Ceará;0
2020-01-01;2020;janeiro;Ásia;Cingapura;Ceará;0
2020-01-01;2020;janeiro;Ásia;Filipinas;Ceará;0
2020-01-01;2020;janeiro;Ásia;Índia;Ceará;5
2020-01-01;2020;janeiro;Ásia;Indonésia;Ceará;0
2020-01-01;2020;janeiro;Ásia;Irã;Ceará;0
2020-01-01;2020;janeiro;Ásia;Israel;Ceará;24
2020-01-01;2020;janeiro;Ásia;Japão;Ceará;1
2020-01-01;2020;janeiro;Ásia;Líbano;Ceará;0
2020-01-01;2020;janeiro;Ásia;Malásia;Ceará;0
2020-01-01;2020;janeiro;Ásia;Paquistão;Ceará;0
2020-01-01;2020;janeiro;Ásia;República da Coreia;Ceará;11
2020-01-01;2020;janeiro;Ásia;Síria;Ceará;1
2020-01-01;2020;janeiro;Ásia;Tailândia;Ceará;0
2020-01-01;2020;janeiro;Ásia;Taiwan;Ceará;3
2020-01-01;2020;janeiro;Ásia;Outros países;Ceará;5
2020-01-01;2020;janeiro;Europa;Alemanha;Ceará;456
2020-01-01;2020;janeiro;Europa;Áustria;Ceará;62
2020-01-01;2020;janeiro;Europa;Bélgica;Ceará;88
2020-01-01;2020;janeiro;Europa;Bulgária;Ceará;2
2020-01-01;2020;janeiro;Europa;Croácia;Ceará;0
2020-01-01;2020;janeiro;Europa;Dinamarca;Ceará;75
2020-01-01;2020;janeiro;Europa;Eslováquia;Ceará;6
2020-01-01;2020;janeiro;Europa;Eslovênia;Ceará;17
2020-01-01;2020;janeiro;Europa;Espanha;Ceará;284
2020-01-01;2020;janeiro;Europa;Estônia;Ceará;7
2020-01-01;2020;janeiro;Europa;Finlândia;Ceará;26
2020-01-01;2020;janeiro;Europa;França;Ceará;895
2020-01-01;2020;janeiro;Europa;Grécia;Ceará;13
2020-01-01;2020;janeiro;Europa;Holanda;Ceará;790
2020-01-01;2020;janeiro;Europa;Hungria;Ceará;15
2020-01-01;2020;janeiro;Europa;Irlanda;Ceará;26
2020-01-01;2020;janeiro;Europa;Itália;Ceará;1328
2020-01-01;2020;janeiro;Europa;Letônia;Ceará;0
2020-01-01;2020;janeiro;Europa;Lituânia;Ceará;12
2020-01-01;2020;janeiro;Europa;Luxemburgo;Ceará;3
2020-01-01;2020;janeiro;Europa;Noruega;Ceará;168
