ano;nacionalidade;sexo;hospedes
2019;internacional;feminino;155043.37
2019;nacional;feminino;876616.07
2019;internacional;masculino;156351.23
2019;nacional;masculino;887953.33
2020;internacional;feminino;48978.77
2020;nacional;feminino;439824.03
2020;internacional;masculino;49391.93
2020;nacional;masculino;445512.27
2021;internacional;feminino;53516.43
2021;nacional;feminino;539901.73
2021;internacional;masculino;53967.87
2021;nacional;masculino;546884.27
2022;internacional;feminino;99133.86
2022;nacional;feminino;1364432.73
2022;internacional;masculino;111834.14
2022;nacional;masculino;1438428.27
2023;internacional;feminino;125415.84
2023;nacional;feminino;1409486.56
2023;internacional;masculino;141483.16
2023;nacional;masculino;1485925.44
