data;demanda
2019-01-01;517111.0
2019-02-01;292130.0
2019-03-01;253997.25
2019-04-01;223041.11
2019-05-01;196829.63
2019-06-01;244966.25
2019-07-01;434755.0
2019-08-01;275914.98
2019-09-01;259006.33000000002
2019-10-01;302878.13
2019-11-01;334178.78
2019-12-01;374012.42000000004
2020-01-01;533142.0
2020-02-01;300018.0
2020-03-01;146268.88
2020-04-01;10397.75
2020-05-01;12368.08
2020-06-01;19561.5
2020-07-01;78543.3
2020-08-01;72184.51
2020-09-01;85149.12000000001
2020-10-01;102345.95999999999
2020-11-01;119966.72
2020-12-01;143552.0
2021-01-01;264914.48
2021-02-01;140673.26
2021-03-01;68163.83
2021-04-01;64362.07
2021-05-01;97642.05
2021-06-01;140002.48
2021-07-01;240282.67
2021-08-01;177151.14
2021-09-01;196326.55
2021-10-01;201472.95
2021-11-01;173981.88
2021-12-01;225476.38999999998
2022-01-01;349921.33999999997
2022-02-01;245650.32
2022-03-01;282827.64
2022-04-01;257890.34
2022-05-01;207966.84000000003
2022-06-01;246219.78
2022-07-01;286090.95
2022-08-01;227262.07
2022-09-01;226458.0
2022-10-01;232687.0
2022-11-01;199244.0
2022-12-01;251611.0
2023-01-01;367417.41000000003
2023-02-01;262845.84
2023-03-01;292726.62
2023-04-01;273363.76
2023-05-01;216285.52000000002
2023-06-01;258530.77
2023-07-01;300943.68
2023-08-01;238397.91
2023-09-01;239125.74
2023-10-01;237763.26
2023-11-01;203143.75
2023-12-01;271766.53
