ano;nacionalidade;faixaetaria;hospedes
2019;internacional;Até 18 anos;6694.98
2019;internacional;De 18 a 25 anos;21455.09
2019;internacional;De 25 a 35 anos;93729.77
2019;internacional;De 35 a 50 anos;119731.22
2019;internacional;De 50 a 65 anos;60130.3
2019;internacional;Acima de 65 anos;9653.23
2019;nacional;Até 18 anos;36956.73
2019;nacional;De 18 a 25 anos;143172.18
2019;nacional;De 25 a 35 anos;512093.98
2019;nacional;De 35 a 50 anos;630578.95
2019;nacional;De 50 a 65 anos;344468.11
2019;nacional;Acima de 65 anos;97299.45
2020;internacional;Até 18 anos;2833.08
2020;internacional;De 18 a 25 anos;7741.77
2020;internacional;De 25 a 35 anos;30701.5
2020;internacional;De 35 a 50 anos;37823.53
2020;internacional;De 50 a 65 anos;16044.26
2020;internacional;Acima de 65 anos;3226.56
2020;nacional;Até 18 anos;20274.2
2020;nacional;De 18 a 25 anos;80654.14
2020;nacional;De 25 a 35 anos;283307.62
2020;nacional;De 35 a 50 anos;337490.2
2020;nacional;De 50 a 65 anos;146169.02
2020;nacional;Acima de 65 anos;17441.13
2021;internacional;Até 18 anos;3095.55
2021;internacional;De 18 a 25 anos;8459.01
2021;internacional;De 25 a 35 anos;33545.85
2021;internacional;De 35 a 50 anos;41327.71
2021;internacional;De 50 a 65 anos;17530.69
2021;internacional;Acima de 65 anos;3525.49
2021;nacional;Até 18 anos;24887.4
2021;nacional;De 18 a 25 anos;99006.2
2021;nacional;De 25 a 35 anos;347771.52
2021;nacional;De 35 a 50 anos;414282.82
2021;nacional;De 50 a 65 anos;179428.37
2021;nacional;Acima de 65 anos;21409.68
2022;internacional;Até 18 anos;5485.17
2022;internacional;De 18 a 25 anos;16497.7
2022;internacional;De 25 a 35 anos;65843.11
2022;internacional;De 35 a 50 anos;80273.32
2022;internacional;De 50 a 65 anos;36117.72
2022;internacional;Acima de 65 anos;6750.98
2022;nacional;Até 18 anos;56057.22
2022;nacional;De 18 a 25 anos;255340.64
2022;nacional;De 25 a 35 anos;892991.51
2022;nacional;De 35 a 50 anos;1097039.8
2022;nacional;De 50 a 65 anos;448738.05
2022;nacional;Acima de 65 anos;52693.79
2023;internacional;Até 18 anos;6939.37
2023;internacional;De 18 a 25 anos;20871.5
2023;internacional;De 25 a 35 anos;83299.18
2023;internacional;De 35 a 50 anos;101555.07
2023;internacional;De 50 a 65 anos;45693.11
2023;internacional;Acima de 65 anos;8540.77
2023;nacional;Até 18 anos;57908.24
2023;nacional;De 18 a 25 anos;263772.03
2023;nacional;De 25 a 35 anos;922478.26
2023;nacional;De 35 a 50 anos;1133264.26
2023;nacional;De 50 a 65 anos;463555.46
2023;nacional;Acima de 65 anos;54433.75
