ano;nacionalidade;motivo;hospedes
2019;internacional;Convencoes e Eventos;51753.78
2019;internacional;Negocios;62310.06
2019;internacional;Outros Motivos;13109.71
2019;internacional;Turismo e Lazer;184221.05
2019;nacional;Convencoes e Eventos;333709.89
2019;nacional;Negocios;372524.35
2019;nacional;Outros Motivos;72521.64
2019;nacional;Turismo e Lazer;985813.51
2020;internacional;Convencoes e Eventos;10220.72
2020;internacional;Negocios;11942.2
2020;internacional;Outros Motivos;30652.31
2020;internacional;Turismo e Lazer;45555.47
2020;nacional;Convencoes e Eventos;117926.8
2020;nacional;Negocios;135544.99
2020;nacional;Outros Motivos;205752.16
2020;nacional;Turismo e Lazer;426112.36
2021;internacional;Convencoes e Eventos;11167.62
2021;internacional;Negocios;13048.59
2021;internacional;Outros Motivos;33492.11
2021;internacional;Turismo e Lazer;49775.98
2021;nacional;Convencoes e Eventos;144759.9
2021;nacional;Negocios;166386.94
2021;nacional;Outros Motivos;252569.07
2021;nacional;Turismo e Lazer;523070.1
2022;internacional;Convencoes e Eventos;40189.4
2022;internacional;Negocios;36856.11
2022;internacional;Outros Motivos;30949.01
2022;internacional;Turismo e Lazer;102973.48
2022;nacional;Convencoes e Eventos;561973.63
2022;nacional;Negocios;464434.07
2022;nacional;Outros Motivos;427996.87
2022;nacional;Turismo e Lazer;1348456.43
2023;internacional;Convencoes e Eventos;50844.26
2023;internacional;Negocios;46627.26
2023;internacional;Outros Motivos;39154.08
2023;internacional;Turismo e Lazer;130273.4
2023;nacional;Convencoes e Eventos;580530.11
2023;nacional;Negocios;479769.77
2023;nacional;Outros Motivos;442129.41
2023;nacional;Turismo e Lazer;1392982.71
