cidade;estabelecimentos;leitos;unidades_habitacionais;ano
Aquiraz;56.0;5,508.00;1,836.00;2020
Cascavel;11.0;579.00;249.00;2020
Caucaia;80.0;5,583.00;2,115.00;2020
Chorozinho;2.0;118.00;50.00;2020
Eusébio;1.0;50.00;15.00;2020
Fortaleza;267.0;31,502.00;12,501.00;2020
Guaiúba;1.0;74.00;28.00;2020
Horizonte;1.0;105.00;50.00;2020
Itaitinga;2.0;26.00;14.00;2020
Maracanaú;11.0;658.00;328.00;2020
Maranguape;8.0;411.00;127.00;2020
Pacajus;3.0;139.00;98.00;2020
Pacatuba;3.0;109.00;39.00;2020
Paracuru;39.0;1,701.00;550.00;2020
Paraipaba;34.0;1,077.00;467.00;2020
Pindoretama;1.0;35.00;21.00;2020
São Gonçalo do Amarante;41.0;1,422.00;572.00;2020
Trairi;68.0;2,275.00;903.00;2020
Aquiraz;57.0;5,732.00;1,939.00;2021
Cascavel;11.0;639.00;249.00;2021
Caucaia;85.0;5,930.00;2,260.00;2021
Chorozinho;2.0;118.00;50.00;2021
Eusébio;1.0;50.00;15.00;2021
Fortaleza;258.0;31,240.00;12,712.00;2021
Guaiúba;1.0;74.00;28.00;2021
Horizonte;1.0;105.00;50.00;2021
Itaitinga;2.0;26.00;14.00;2021
Maracanaú;12.0;650.00;335.00;2021
Maranguape;8.0;411.00;127.00;2021
Pacajus;3.0;139.00;98.00;2021
Pacatuba;3.0;109.00;39.00;2021
Paracuru;40.0;1,735.00;547.00;2021
Paraipaba;34.0;1,077.00;467.00;2021
Pindoretama;1.0;35.00;21.00;2021
São Gonçalo do Amarante;42.0;1,562.00;670.00;2021
Trairi;74.0;2,530.00;977.00;2021
Aquiraz;58.0;6,105.00;1,955.00;2022
Cascavel;11.0;784.00;274.00;2022
Caucaia;93.0;5,581.00;2,361.00;2022
Chorozinho;2.0;118.00;50.00;2022
Eusébio;1.0;50.00;15.00;2022
Fortaleza;265.0;31,409.00;12,929.00;2022
Guaiúba;1.0;74.00;28.00;2022
Horizonte;1.0;94.00;47.00;2022
Itaitinga;2.0;26.00;14.00;2022
Maracanaú;12.0;650.00;335.00;2022
Maranguape;8.0;411.00;127.00;2022
Pacajus;3.0;139.00;98.00;2022
Pacatuba;3.0;109.00;39.00;2022
Paracuru;45.0;1,808.00;574.00;2022
Paraipaba;34.0;1,078.00;468.00;2022
Pindoretama;1.0;35.00;21.00;2022
São Gonçalo do Amarante;42.0;1,564.00;670.00;2022
Trairi;67.0;2,460.00;936.00;2022
Aquiraz;62.0;5,973.00;1,993.00;2023
Cascavel;15.0;867.00;307.00;2023
Caucaia;98.0;6,227.00;2,613.00;2023
Chorozinho;2.0;118.00;50.00;2023
Eusébio;1.0;50.00;15.00;2023
Fortaleza;273.0;32,387.00;13,461.00;2023
Guaiúba;1.0;74.00;28.00;2023
Horizonte;1.0;94.00;47.00;2023
Itaitinga;2.0;44.00;17.00;2023
Maracanaú;12.0;658.00;333.00;2023
Maranguape;8.0;411.00;127.00;2023
Pacajus;3.0;139.00;98.00;2023
Pacatuba;3.0;109.00;39.00;2023
Paracuru;48.0;1,688.00;563.00;2023
Paraipaba;37.0;1,126.00;491.00;2023
Pindoretama;1.0;35.00;21.00;2023
São Gonçalo do Amarante;42.0;1,558.00;677.00;2023
Trairi;77.0;2,680.00;1,067.00;2023
