"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2020";"0000";"24,9";"25,2";"24,7";"81,0";"81,0";"80,0";"21,5";"21,5";"21,1";"1010,0";"1010,0";"1009,5";"0,7";"118,0";"1,9";"";"0,0"
"01/07/2020";"0100";"23,9";"24,9";"23,9";"86,0";"86,0";"81,0";"21,4";"21,6";"21,3";"1010,2";"1010,3";"1010,0";"0,2";"183,0";"1,2";"";"0,0"
"01/07/2020";"0200";"23,9";"24,0";"23,6";"88,0";"88,0";"86,0";"21,7";"21,8";"21,2";"1010,4";"1010,5";"1010,2";"0,0";"198,0";"1,0";"";"0,0"
"01/07/2020";"0300";"23,5";"23,9";"23,4";"89,0";"89,0";"87,0";"21,6";"21,8";"21,4";"1010,1";"1010,4";"1010,1";"0,0";"187,0";"1,3";"";"0,0"
"01/07/2020";"0400";"23,4";"23,5";"23,3";"90,0";"90,0";"89,0";"21,6";"21,7";"21,5";"1009,5";"1010,1";"1009,5";"0,0";"194,0";"0,7";"";"0,0"
"01/07/2020";"0500";"23,7";"23,8";"23,4";"90,0";"90,0";"90,0";"21,9";"22,0";"21,6";"1008,8";"1009,5";"1008,8";"0,4";"175,0";"1,5";"";"0,0"
"01/07/2020";"0600";"23,6";"23,9";"23,6";"90,0";"90,0";"89,0";"21,8";"22,1";"21,8";"1008,4";"1008,8";"1008,4";"0,4";"192,0";"2,5";"";"0,0"
"01/07/2020";"0700";"23,1";"23,6";"23,1";"90,0";"90,0";"89,0";"21,4";"21,8";"21,4";"1008,6";"1008,6";"1008,3";"0,4";"204,0";"1,4";"";"0,0"
"01/07/2020";"0800";"23,4";"23,5";"23,0";"90,0";"91,0";"90,0";"21,7";"21,8";"21,4";"1008,7";"1008,7";"1008,6";"1,6";"187,0";"3,3";"";"0,0"
"01/07/2020";"0900";"23,2";"23,4";"23,1";"89,0";"90,0";"89,0";"21,3";"21,7";"21,3";"1008,9";"1008,9";"1008,7";"1,3";"184,0";"3,3";"0,50";"0,0"
"01/07/2020";"1000";"25,1";"25,1";"23,1";"84,0";"90,0";"84,0";"22,2";"22,3";"21,2";"1009,3";"1009,3";"1008,8";"1,6";"168,0";"3,7";"238,30";"0,2"
