cidade;estabelecimentos;leitos;unidades_habitacionais;ano
Aquiraz;56.00;5,508.00;1,836.00;2020
Cascavel;11.00;579.00;249.00;2020
Caucaia;80.00;5,583.00;2,115.00;2020
Chorozinho;2.00;118.00;50.00;2020
Eusébio;1.00;50.00;15.00;2020
Fortaleza;267.00;31,502.00;12,501.00;2020
Guaiúba;1.00;74.00;28.00;2020
Horizonte;1.00;105.00;50.00;2020
Itaitinga;2.00;26.00;14.00;2020
Maracanaú;11.00;658.00;328.00;2020
Maranguape;8.00;411.00;127.00;2020
Pacajus;3.00;139.00;98.00;2020
Pacatuba;3.00;109.00;39.00;2020
Paracuru;39.00;1,701.00;550.00;2020
Paraipaba;34.00;1,077.00;467.00;2020
Pindoretama;1.00;35.00;21.00;2020
São Gonçalo do Amarante;41.00;1,422.00;572.00;2020
Trairi;68.00;2,275.00;903.00;2020
Aquiraz;57.00;5,732.00;1,939.00;2021
Cascavel;11.00;639.00;249.00;2021
Caucaia;85.00;5,930.00;2,260.00;2021
Chorozinho;2.00;118.00;50.00;2021
Eusébio;1.00;50.00;15.00;2021
Fortaleza;258.00;31,240.00;12,712.00;2021
Guaiúba;1.00;74.00;28.00;2021
Horizonte;1.00;105.00;50.00;2021
Itaitinga;2.00;26.00;14.00;2021
Maracanaú;12.00;650.00;335.00;2021
Maranguape;8.00;411.00;127.00;2021
Pacajus;3.00;139.00;98.00;2021
Pacatuba;3.00;109.00;39.00;2021
Paracuru;40.00;1,735.00;547.00;2021
Paraipaba;34.00;1,077.00;467.00;2021
Pindoretama;1.00;35.00;21.00;2021
São Gonçalo do Amarante;42.00;1,562.00;670.00;2021
Trairi;74.00;2,530.00;977.00;2021
Aquiraz;58.00;6,105.00;1,955.00;2022
Cascavel;11.00;784.00;274.00;2022
Caucaia;93.00;5,581.00;2,361.00;2022
Chorozinho;2.00;118.00;50.00;2022
Eusébio;1.00;50.00;15.00;2022
Fortaleza;265.00;31,409.00;12,929.00;2022
Guaiúba;1.00;74.00;28.00;2022
Horizonte;1.00;94.00;47.00;2022
Itaitinga;2.00;26.00;14.00;2022
Maracanaú;12.00;650.00;335.00;2022
Maranguape;8.00;411.00;127.00;2022
Pacajus;3.00;139.00;98.00;2022
Pacatuba;3.00;109.00;39.00;2022
Paracuru;45.00;1,808.00;574.00;2022
Paraipaba;34.00;1,078.00;468.00;2022
Pindoretama;1.00;35.00;21.00;2022
São Gonçalo do Amarante;42.00;1,564.00;670.00;2022
Trairi;67.00;2,460.00;936.00;2022
Aquiraz;62.00;5,973.00;1,993.00;2023
Cascavel;15.00;867.00;307.00;2023
Caucaia;98.00;6,227.00;2,613.00;2023
Chorozinho;2.00;118.00;50.00;2023
Eusébio;1.00;50.00;15.00;2023
Fortaleza;273.00;32,387.00;13,461.00;2023
Guaiúba;1.00;74.00;28.00;2023
Horizonte;1.00;94.00;47.00;2023
Itaitinga;2.00;44.00;17.00;2023
Maracanaú;12.00;658.00;333.00;2023
Maranguape;8.00;411.00;127.00;2023
Pacajus;3.00;139.00;98.00;2023
Pacatuba;3.00;109.00;39.00;2023
Paracuru;48.00;1,688.00;563.00;2023
Paraipaba;37.00;1,126.00;491.00;2023
Pindoretama;1.00;35.00;21.00;2023
São Gonçalo do Amarante;42.00;1,558.00;677.00;2023
Trairi;77.00;2,680.00;1,067.00;2023
